,range,angle
0,2.37025,0.33570300000000003
1,2.36225,0.326704
2,2.35425,0.31825
3,2.35125,0.309523
4,2.34325,0.30052399999999996
5,2.33725,0.29207
6,2.33025,0.28334299999999996
7,2.32525,0.274617
8,2.32025,0.26589
9,2.31125,0.257436
10,2.30825,0.248709
11,2.30325,0.239983
12,2.29625,0.23152899999999998
13,2.29425,0.222802
14,2.28725,0.214075
15,2.28525,0.20534899999999998
16,2.28025,0.196622
17,2.27625,0.187896
18,2.27325,0.179169
19,2.27025,0.170715
20,2.26425,0.16198900000000002
21,2.26225,0.15326099999999998
22,2.25925,0.144535
23,2.25425,0.136081
24,2.25125,0.127354
25,2.24925,0.118628
26,2.24725,0.110174
27,2.24125,0.10144700000000001
28,2.24125,0.0927208
29,2.24025,0.0839937
30,2.23825,0.0755399
31,2.23725,0.0668133
32,2.23525,0.0580867
33,2.23325,0.0496329
34,2.23425,0.04090630000000001
35,2.23225,0.032179700000000006
36,2.23025,0.023453099999999998
37,2.23025,0.0149987
38,2.22925,0.00627214
39,2.22925,-0.00245458
40,2.23025,-0.0111812
41,2.22825,-0.0193623
42,2.23025,-0.0278161
43,2.23025,-0.03627
44,2.23025,-0.0449966
45,2.23025,-0.0534509
46,2.23125,-0.0621775
47,2.23025,-0.0706313
48,2.23325,-0.0793579
49,2.23325,-0.08781180000000001
50,2.23625,-0.0965384
51,2.23725,-0.104993
52,2.24025,-0.113719
53,2.24125,-0.122173
54,2.24425,-0.1309
55,2.24625,-0.139354
56,2.24825,-0.14808
57,2.25025,-0.15653399999999998
58,2.25425,-0.165261
59,2.25725,-0.173715
60,0.0,-0.18271400000000002
61,2.11225,-0.191441
62,0.0,-0.20344
63,1.614,-0.211894
64,1.6130000000000002,-0.22061999999999998
65,1.617,-0.22907399999999997
66,1.635,-0.237529
67,0.0,-0.242164
68,2.29125,-0.250891
69,2.29625,-0.259345
70,2.30025,-0.268071
71,2.30725,-0.27652600000000005
72,2.31425,-0.285252
73,2.32025,-0.29370599999999997
74,2.32525,-0.302433
75,2.33325,-0.31088699999999997
76,2.33825,-0.31961300000000004
77,2.34425,-0.328067
78,2.35225,-0.336521
79,2.35825,-0.344975
80,2.36525,-0.353702
81,2.37325,-0.361883
82,2.38325,-0.37033699999999997
83,2.39125,-0.379064
84,2.39825,-0.387518
85,2.40725,-0.396244
86,2.41725,-0.404698
87,2.42525,-0.413152
88,2.43125,-0.42160600000000004
89,2.44225,-0.43033299999999997
90,2.45025,-0.438787
91,2.46025,-0.447513
92,2.47125,-0.455967
93,2.47825,-0.46469399999999994
94,2.49025,-0.47342
95,2.49925,-0.48160200000000003
96,2.51225,-0.490329
97,0.0,-0.629682
98,0.0,-0.638408
99,0.0,-0.646863
100,0.0,-0.655589
101,0.0,-0.664043
102,0.0,-0.67277
103,0.0,-0.6812239999999999
104,0.0,-0.68995
105,0.0,-0.567232
106,2.64225,-0.575959
107,2.65925,-0.584685
108,2.67525,-0.592867
109,2.69725,-0.601593
110,2.69425,-0.610047
111,2.71325,-0.6187739999999999
112,2.73025,-0.627228
113,2.75025,-0.635954
114,2.71325,-0.644408
115,2.68425,-0.653135
116,2.65125,-0.661862
117,2.62325,-0.670588
118,2.65625,-0.679042
119,0.0,-0.6872229999999999
120,2.89225,-0.695677
121,0.0,-0.8361219999999999
122,0.0,-0.844576
123,2.94225,-0.721039
124,2.97625,-0.7294930000000001
125,0.0,-0.87021
126,0.0,-0.8789370000000001
127,0.0,-0.757582
128,0.0,-0.8961180000000001
129,0.0,-0.9045709999999999
130,0.0,-0.913025
131,0.0,-0.921752
132,0.0,-0.930206
133,0.0,-0.938933
134,0.0,-0.9473870000000001
135,0.0,-0.9561129999999999
136,0.0,-0.964567
137,0.0,-0.9730209999999999
138,0.0,-0.849484
139,2.97125,-0.8579389999999999
140,2.94725,-0.8669379999999999
141,2.92425,-0.8753920000000001
142,2.90625,-0.8841180000000001
143,2.88625,-0.8925719999999999
144,2.86425,-0.901299
145,0.0,-0.910025
146,0.0,-0.919025
147,2.64025,-0.927751
148,2.67325,-0.935933
149,2.70225,-0.94466
150,2.71525,-0.9531129999999999
151,2.73625,-0.9618399999999999
152,2.71925,-0.9702940000000001
153,2.70225,-0.978748
154,2.68925,-0.987475
155,2.67225,-0.9959290000000001
156,2.65725,-1.0049299999999999
157,2.64425,-1.01338
158,2.62725,-1.02211
159,2.62225,-1.0305600000000001
160,0.0,-1.0414700000000001
161,2.03225,-1.05074
162,2.02425,-1.0592
163,2.01425,-1.06792
164,2.00625,-1.07638
165,1.99525,-1.0851
166,1.98825,-1.0941
167,1.97725,-1.10256
168,1.96725,-1.1112799999999998
169,1.96025,-1.12001
170,1.95325,-1.12846
171,1.94525,-1.13719
172,1.93625,-1.14619
173,1.92925,-1.1546399999999999
174,1.92325,-1.16337
175,1.91625,-1.17182
176,1.91025,-1.18055
177,1.90725,-1.18928
178,1.89925,-1.19773
179,1.89325,-1.2067299999999999
180,1.88425,-1.21546
181,1.87825,-1.22391
182,1.87425,-1.23264
183,1.86725,-1.24137
184,1.86325,-1.2498200000000002
185,1.85825,-1.25855
186,1.85025,-1.26755
187,1.85025,-1.276
188,1.89,-1.28445
189,0.0,-1.2912700000000001
190,0.0,-1.29972
191,2.24525,-1.30845
192,0.0,-1.31745
193,2.15425,-1.32618
194,2.214,-1.33463
195,0.0,-1.34254
196,2.29525,-1.35127
197,2.28925,-1.35999
198,2.28725,-1.36845
199,2.28325,-1.37717
200,2.27925,-1.3861700000000001
201,2.27525,-1.39463
202,2.27125,-1.4030799999999999
203,2.26925,-1.41181
204,2.26225,-1.4205299999999998
205,2.26325,-1.42926
206,2.25625,-1.43771
207,2.25525,-1.44644
208,2.25225,-1.45517
209,2.24925,-1.4639
210,2.24725,-1.47262
211,2.24525,-1.48108
212,2.24225,-1.4898
213,2.24325,-1.49853
214,2.24325,-1.50726
215,2.24625,-1.5159799999999999
216,0.0,-1.52662
217,1.834,-1.53534
218,1.805,-1.54434
219,1.79,-1.5530700000000002
220,1.781,-1.5618
221,1.774,-1.57025
222,1.767,-1.57925
223,1.765,-1.58798
224,1.75625,-1.5967
225,1.76725,-1.60543
226,1.77,-1.61361
227,1.7790000000000001,-1.62234
228,1.784,-1.63106
229,1.7930000000000001,-1.63979
230,1.8,-1.64852
231,1.8130000000000002,-1.6567
232,1.831,-1.66543
233,1.857,-1.67388
234,0.0,-1.6807
235,2.24825,-1.6894200000000001
236,2.25025,-1.6978799999999998
237,2.25325,-1.7066
238,2.25525,-1.71533
239,2.25825,-1.72406
240,2.26125,-1.73278
241,2.26525,-1.7412400000000001
242,2.26925,-1.7496900000000002
243,2.27325,-1.75815
244,2.27525,-1.7666
245,2.28025,-1.7753299999999999
246,2.28225,-1.78351
247,2.28625,-1.7919599999999998
248,2.29025,-1.8006900000000001
249,2.29525,-1.8091400000000002
250,2.29825,-1.8176
251,2.30625,-1.8263200000000002
252,2.30625,-1.8347799999999999
253,2.31425,-1.84323
254,2.32225,-1.8519599999999998
255,2.32825,-1.86041
256,2.33325,-1.86887
257,2.33925,-1.87732
258,2.34225,-1.88605
259,2.35125,-1.8942299999999999
260,2.35725,-1.90268
261,2.36325,-1.9114099999999998
262,2.37025,-1.91986
263,2.37825,-1.92832
264,2.37725,-1.93704
265,2.36725,-1.9455
266,2.31225,-1.95422
267,0.0,-1.96322
268,2.25225,-1.9716799999999999
269,0.0,-1.97986
270,0.0,-1.98777
271,2.44325,-1.99649
272,2.45225,-2.00495
273,2.46325,-2.0134
274,2.47125,-2.0221299999999998
275,2.48325,-2.03058
276,2.49225,-2.03904
277,2.50625,-2.0474900000000003
278,2.51725,-2.05594
279,2.52725,-2.0644
280,2.53725,-2.07312
281,2.54825,-2.0813
282,2.56125,-2.08976
283,2.57525,-2.09849
284,2.58725,-2.1069400000000003
285,2.59725,-2.11539
286,2.61325,-2.12412
287,2.62625,-2.13285
288,2.64325,-2.14157
289,2.65625,-2.15003
290,2.67025,-2.15848
291,2.68625,-2.16721
292,2.70225,-2.1756599999999997
293,2.71725,-2.18439
294,2.73425,-2.19311
295,2.74725,-2.2018400000000002
296,2.76825,-2.21002
297,2.78325,-2.21875
298,2.80225,-2.22748
299,2.81925,-2.2359299999999998
300,2.83925,-2.2446599999999997
301,2.85825,-2.25338
302,2.87825,-2.2618400000000003
303,2.89725,-2.27029
304,2.91625,-2.27902
305,2.93825,-2.2877400000000003
306,2.96225,-2.2962
307,2.98325,-2.30465
308,3.00225,-2.31338
309,3.02825,-2.32211
310,3.05525,-2.3305599999999997
311,3.07425,-2.33929
312,3.10225,-2.34774
313,3.12725,-2.3561900000000002
314,3.15025,-2.36492
315,3.18025,-2.37365
316,3.20425,-2.38237
317,3.18725,-2.39083
318,3.16325,-2.39955
319,3.11325,-2.40828
320,3.08825,-2.41701
321,0.0,-2.4262799999999998
322,0.0,-2.43473
323,2.948,-2.44319
324,2.917,-2.4516400000000003
325,2.90925,-2.4601
326,2.88825,-2.46855
327,2.87325,-2.477
328,2.85825,-2.4857299999999998
329,2.84725,-2.49418
330,2.855,-2.50264
331,2.855,-2.5110900000000003
332,0.0,-2.519
333,3.00625,-2.52745
334,2.99425,-2.53591
335,2.98525,-2.5443599999999997
336,2.98325,-2.55282
337,2.97425,-2.56127
338,2.96725,-2.57
339,2.95625,-2.57845
340,2.95425,-2.58691
341,2.94325,-2.59536
342,2.93825,-2.6038099999999997
343,2.93125,-2.61227
344,2.92325,-2.62099
345,2.92025,-2.6297200000000003
346,2.955,-2.63817
347,0.0,-2.64663
348,3.014,-2.65535
349,2.9960000000000004,-2.66408
350,2.9760000000000004,-2.67254
351,2.9589999999999996,-2.68153
352,2.944,-2.69026
353,2.928,-2.6989900000000002
354,2.907,-2.70744
355,2.9,-2.71617
356,2.8810000000000002,-2.7249
357,2.865,-2.73362
358,0.0,-2.74208
359,0.0,-2.75053
360,2.98225,-2.75926
361,2.9819999999999998,-2.76798
362,3.0239999999999996,-2.77644
363,3.06925,-2.78516
364,3.11725,-2.79362
365,3.16625,-2.80234
366,0.0,-2.81134
367,2.928,-2.82007
368,2.9760000000000004,-2.82852
369,0.0,-2.9695099999999996
370,0.0,-2.97797
371,0.0,-2.9866900000000003
372,0.0,-2.85989
373,5.46125,-2.86861
374,5.43225,-2.8773400000000002
375,5.42325,-2.88607
376,5.41825,-2.89479
377,5.39825,-2.90352
378,5.39225,-2.91197
379,5.37725,-2.9207
380,5.37625,-2.92943
381,5.36725,-2.93815
382,5.32225,-2.9466099999999997
383,5.31025,-2.95479
384,5.31125,-2.96297
385,5.28825,-2.97115
386,5.27725,-2.97933
387,5.28225,-2.98751
388,5.27525,-2.99569
389,0.0,-3.00524
390,0.0,-3.01287
391,5.25325,-3.02133
392,5.24325,-3.0300599999999998
393,5.21525,-3.03878
394,5.22425,-3.04724
395,5.21225,-3.05596
396,5.17925,-3.06469
397,5.21225,-3.07314
398,5.20525,-3.08187
399,5.21025,-3.0906
400,5.20225,-3.09905
401,5.20625,-3.10778
402,5.21325,-3.1165
403,5.20025,-3.1252299999999997
404,5.20025,-3.13368
405,5.20125,3.1407700000000003
406,5.20125,3.13205
407,5.20425,3.12359
408,5.20425,3.1148700000000002
409,5.21625,3.1061400000000003
410,5.21325,3.09769
411,5.20325,3.0889599999999997
412,5.21125,3.08023
413,0.0,3.07178
414,0.0,3.06005
415,3.076,3.05133
416,0.0,3.0456
417,5.22225,3.03715
418,5.23125,3.02842
419,0.0,3.01778
420,3.6180000000000003,3.00933
421,0.0,3.00251
422,5.24225,2.99378
423,5.28825,2.98533
424,0.0,2.9717
425,2.371,2.96297
426,2.383,2.95452
427,0.0,2.9507
428,0.0,2.80671
429,0.0,2.93324
430,5.432,2.92424
431,5.441,2.91552
432,5.445,2.90706
433,5.4670000000000005,2.89834
434,0.0,2.75408
435,5.5,2.88088
436,0.0,2.7366200000000003
437,0.0,2.7279
438,0.0,2.71917
439,0.0,2.71044
440,0.0,2.70171
441,0.0,2.81407
442,0.0,2.6842599999999996
443,0.0,2.6755400000000003
444,0.0,2.66681
445,0.0,2.65808
446,0.0,2.6493599999999997
447,0.0,2.64063
448,0.0,2.76307
449,0.0,2.75271
450,2.18425,2.74398
451,2.17325,2.73526
452,2.17225,2.72653
453,2.17825,2.7178
454,2.17125,2.7090799999999997
455,2.16425,2.70035
456,2.17825,2.69162
457,2.19925,2.6829
458,0.0,2.5446400000000002
459,0.0,2.67199
460,6.53225,2.6632599999999997
461,6.54525,2.6545400000000003
462,6.59325,2.64581
463,0.0,2.62863
464,1.81625,2.6199
465,1.81525,2.61118
466,1.81425,2.60245
467,1.82025,2.5937200000000002
468,1.82925,2.585
469,0.0,2.57681
470,0.0,2.4401900000000003
471,0.0,2.43173
472,0.0,2.55936
473,6.956,2.55091
474,7.005,2.54218
475,7.044,2.53373
476,7.065,2.525
477,7.096,2.51655
478,7.196000000000001,2.50782
479,0.0,2.36301
480,0.0,2.35429
481,0.0,2.34583
482,0.0,2.3371
483,0.0,2.32838
484,0.0,2.31992
485,0.0,2.3112
486,0.0,2.4262799999999998
487,1.32625,2.41728
488,1.31525,2.40855
489,1.31025,2.39983
490,1.30625,2.39137
491,1.30325,2.38265
492,1.30125,2.37419
493,1.30525,2.36547
494,1.30625,2.35701
495,1.31025,2.34829
496,1.31525,2.3395599999999996
497,1.341,2.33138
498,0.0,2.19939
499,0.0,2.31256
500,1.21625,2.30383
501,1.19825,2.2951099999999998
502,1.18725,2.28638
503,1.18025,2.27765
504,1.17825,2.26893
505,1.17925,2.26047
506,1.18025,2.25175
507,1.18825,2.24357
508,1.19425,2.23484
509,1.20025,2.22611
510,1.20725,2.21739
511,1.234,2.2092
512,0.0,2.20457
513,0.0,2.07012
514,0.0,2.06167
515,0.0,2.05294
516,0.0,2.04449
517,0.0,2.03576
518,0.0,2.02731
519,0.0,2.01858
520,0.0,2.0101299999999998
521,0.0,2.0014
522,0.0,1.99295
523,0.0,1.98422
524,0.0,1.97577
525,0.0,1.96731
526,0.0,2.09576
527,0.0,1.95013
528,0.0,1.9414099999999999
529,0.0,1.93295
530,0.0,1.9242299999999999
531,0.0,1.91577
532,0.0,1.90704
533,0.0,1.8985900000000002
534,0.0,1.8898599999999999
535,0.0,1.8814099999999998
536,0.0,1.87268
537,0.0,1.8642299999999998
538,0.0,1.85578
539,0.0,1.84705
540,0.0,1.8386
541,0.0,1.82987
542,0.0,1.8214099999999998
543,0.0,1.8126900000000001
544,0.0,1.80423
545,0.0,1.79551
546,0.0,1.78705
547,0.0,1.77833
548,0.0,1.76987
549,0.0,1.76115
550,0.0,1.75215
551,0.0,1.7436900000000002
552,0.0,1.7352400000000001
553,0.0,1.7265099999999998
554,0.0,1.71806
555,0.0,1.70933
556,0.0,1.8364099999999999
557,5.582000000000001,1.82769
558,5.565,1.81923
559,5.56325,1.8105099999999998
560,5.53225,1.80205
561,5.525,1.7933299999999999
562,5.52025,1.7848700000000002
563,5.48325,1.77615
564,5.46425,1.7676900000000002
565,5.47825,1.7592400000000001
566,0.0,1.69924
567,0.39525,1.69133
568,0.39525,1.68261
569,0.39525,1.67415
570,0.39625,1.6657
571,0.39525,1.65697
572,0.39425,1.64825
573,0.39425,1.63979
574,0.39425,1.63106
575,0.39325,1.62234
576,0.39325,1.61361
577,0.39325,1.6051600000000001
578,0.39325,1.5967
579,0.39225,1.58798
580,0.39325,1.57952
581,0.39325,1.5708
582,0.39225,1.56234
583,0.39425,1.55389
584,0.39325,1.54516
585,0.39325,1.53644
586,0.39325,1.52798
587,0.39525,1.5195299999999998
588,0.0,1.42626
589,0.0,1.41753
590,0.0,1.4090799999999999
591,0.0,1.4006299999999998
592,0.0,1.3919
593,0.0,1.38345
594,0.0,1.49035
595,0.90025,1.48189
596,0.90425,1.47317
597,0.91225,1.46499
598,0.92525,1.4565299999999999
599,0.94025,1.44835
600,0.95625,1.4401700000000002
601,0.97025,1.4319899999999999
602,0.97925,1.42353
603,0.99025,1.41535
604,1.00025,1.4066299999999998
605,1.01625,1.39872
606,1.03725,1.39026
607,1.07825,1.38263
608,0.0,1.37036
609,0.91425,1.3619
610,0.93225,1.35372
611,0.95425,1.34581
612,0.0,1.22009
613,0.0,1.21164
614,0.0,1.2029100000000001
615,0.988,1.3119999999999998
616,1.00025,1.30354
617,1.02325,1.2956299999999998
618,0.0,1.16855
619,0.0,1.1601
620,0.0,1.15137
621,0.0,1.1429200000000002
622,0.0,1.27055
623,7.474,1.26209
624,0.0,1.11701
625,0.0,1.10856
626,0.0,1.0998299999999999
