,range,angle
0,1.31425,0.33134
1,1.31125,0.32234
2,1.30825,0.313886
3,1.30425,0.30516
4,1.30025,0.296161
5,1.29725,0.287707
6,1.29425,0.27898
7,1.29025,0.270253
8,1.28825,0.261527
9,1.28525,0.253073
10,1.28225,0.244346
11,1.27925,0.23534699999999997
12,1.27525,0.22662
13,1.27425,0.218166
14,1.27125,0.20944000000000002
15,1.27025,0.200713
16,1.26725,0.191986
17,1.26525,0.183532
18,1.26325,0.174805
19,1.26125,0.166079
20,1.26025,0.157352
21,1.25825,0.148626
22,1.25725,0.139899
23,1.25425,0.131172
24,1.25225,0.122446
25,1.25125,0.11399200000000001
26,1.25025,0.10526500000000001
27,1.24925,0.0965384
28,1.24925,0.08781180000000001
29,1.24825,0.0793579
30,1.25725,0.0706313
31,1.25525,0.0619047
32,0.0,0.0458148
33,0.85525,0.036815499999999994
34,0.84125,0.027543400000000003
35,0.83125,0.018544
36,0.82225,0.00954467
37,0.81525,0.0008180780000000001
38,0.80825,-0.00790865
39,0.80325,-0.016908000000000003
40,0.79925,-0.025907299999999998
41,0.79525,-0.03490669999999999
42,0.79225,-0.0433605
43,0.78925,-0.0520871
44,0.78725,-0.060541
45,0.78425,-0.0692676
46,0.78325,-0.0779942
47,0.78225,-0.0864485
48,0.78125,-0.09490230000000001
49,0.78125,-0.103629
50,0.78125,-0.11208299999999999
51,0.78325,-0.12053699999999999
52,0.78325,-0.128991
53,0.78425,-0.137445
54,0.78625,-0.145899
55,0.78825,-0.154352
56,0.79025,-0.162806
57,0.79225,-0.171261
58,0.79525,-0.179715
59,0.80025,-0.187896
60,0.80425,-0.196349
61,0.81025,-0.204803
62,0.81625,-0.21298499999999998
63,0.82425,-0.221439
64,0.83125,-0.22962
65,0.84225,-0.237801
66,0.85425,-0.245982
67,0.87,-0.253891
68,0.0,-0.377155
69,0.0,-0.385881
70,0.0,-0.394335
71,0.0,-0.280071
72,1.29725,-0.288525
73,1.30025,-0.297252
74,1.30425,-0.305433
75,1.30725,-0.313886
76,1.31225,-0.32234
77,1.31525,-0.331067
78,1.32025,-0.339521
79,1.32225,-0.347975
80,1.32725,-0.356429
81,1.33225,-0.36461
82,1.33625,-0.373064
83,1.34025,-0.38151799999999997
84,1.34525,-0.38969899999999996
85,1.34825,-0.398426
86,1.35425,-0.40688
87,1.35925,-0.41533400000000004
88,1.36325,-0.423788
89,1.36925,-0.432242
90,1.37425,-0.440696
91,1.38125,-0.44914899999999996
92,1.38825,-0.457603
93,1.39225,-0.46633
94,1.39925,-0.47451099999999996
95,1.40525,-0.482965
96,1.41325,-0.491692
97,1.41825,-0.505055
98,1.42525,-0.513509
99,1.43325,-0.521962
100,1.43925,-0.5306890000000001
101,1.44825,-0.53887
102,1.45525,-0.547324
103,1.46225,-0.5560510000000001
104,1.47025,-0.564505
105,1.48025,-0.5726859999999999
106,1.48825,-0.581413
107,1.49525,-0.589867
108,1.50325,-0.5980479999999999
109,1.51325,-0.606775
110,1.52225,-0.615228
111,1.52925,-0.62341
112,1.55025,-0.632137
113,1.51225,-0.640863
114,1.49525,-0.64959
115,1.47825,-0.658316
116,1.46225,-0.667043
117,1.44525,-0.675497
118,1.42925,-0.684496
119,1.41725,-0.6932229999999999
120,1.42825,-0.701404
121,1.44025,-0.7101310000000001
122,0.0,-0.716676
123,1.66525,-0.724857
124,1.67625,-0.733584
125,1.69125,-0.742038
126,1.70425,-0.750219
127,1.71725,-0.758945
128,1.73225,-0.767127
129,1.74425,-0.7755810000000001
130,1.75925,-0.784307
131,1.77625,-0.792488
132,1.79225,-0.800942
133,1.80625,-0.809669
134,1.82425,-0.81785
135,1.83925,-0.826304
136,1.85825,-0.834758
137,1.87425,-0.843757
138,1.89225,-0.852211
139,1.91325,-0.8606659999999999
140,1.93225,-0.869392
141,1.95025,-0.8775729999999999
142,1.97325,-0.8863
143,1.99325,-0.894754
144,2.01525,-0.903208
145,2.03725,-0.911935
146,2.06025,-0.9203889999999999
147,2.08325,-0.9288420000000001
148,2.10725,-0.9372959999999999
149,2.13125,-0.946023
150,2.15625,-0.954477
151,2.18325,-0.962931
152,2.21025,-0.971658
153,2.23725,-0.9801110000000001
154,2.26625,-0.9885649999999999
155,2.29825,-0.9970190000000001
156,2.33025,-1.00575
157,2.36225,-1.01393
158,2.39525,-1.02265
159,2.42825,-1.03111
160,2.46125,-1.03956
161,2.50025,-1.0480200000000002
162,2.53725,-1.05674
163,2.57625,-1.0654700000000001
164,2.61325,-1.07365
165,2.65025,-1.08238
166,2.67125,-1.09083
167,2.65525,-1.09956
168,2.64525,-1.10828
169,2.63625,-1.11701
170,2.62325,-1.1254600000000001
171,2.61325,-1.13419
172,2.635,-1.1429200000000002
173,0.0,-1.15192
174,2.46625,-1.16064
175,2.44325,-1.16937
176,2.41825,-1.1783700000000001
177,2.39225,-1.18655
178,2.37025,-1.1950100000000001
179,2.34825,-1.20373
180,2.33025,-1.21246
181,2.34225,-1.22091
182,2.36325,-1.22909
183,2.38525,-1.2378200000000001
184,2.40525,-1.24627
185,2.42525,-1.2544600000000001
186,2.45225,-1.26318
187,0.0,-1.27109
188,2.60525,-1.27954
189,2.60825,-1.28827
190,2.60925,-1.29673
191,2.61325,-1.30518
192,2.61225,-1.3139100000000001
193,2.61425,-1.32645
194,2.61225,-1.3349
195,2.61625,-1.34336
196,2.61825,-1.35208
197,2.61625,-1.3605399999999999
198,2.61925,-1.36927
199,2.62125,-1.37772
200,2.62425,-1.38645
201,2.62725,-1.3949
202,2.64625,-1.40335
203,0.0,-1.41126
204,0.0,-1.41944
205,0.0,-1.4281700000000002
206,0.0,-1.56889
207,0.0,-1.44508
208,3.215,-1.45326
209,3.2089999999999996,-1.46199
210,3.2030000000000003,-1.47071
211,3.194,-1.47917
212,3.187,-1.48789
213,3.173,-1.49635
214,3.17,-1.5050700000000001
215,3.1519999999999997,-1.5135299999999998
216,3.161,-1.52225
217,3.162,-1.53071
218,3.158,-1.53916
219,0.0,-1.54516
220,5.27525,-1.55362
221,5.26525,-1.56234
222,5.27525,-1.5708
223,5.27125,-1.57952
