,range,angle
0,2.32225,0.332431
1,2.37325,0.325067
2,2.42325,0.317432
3,2.47725,0.309523
4,2.53225,0.301887
5,2.58925,0.294252
6,2.64825,0.28634299999999996
7,2.70925,0.27870700000000004
8,0.0,0.271071
9,0.0,0.26316300000000004
10,0.0,0.255527
11,0.0,0.24789099999999997
12,0.0,0.239983
13,0.0,0.23234699999999997
14,0.0,0.22471100000000002
15,0.0,0.217075
16,0.0,0.20916700000000002
17,0.0,0.202622
18,4.36025,0.194713
19,4.35425,0.186805
20,4.34425,0.178896
21,4.34025,0.170715
22,4.34725,0.162806
23,4.371,0.154898
24,0.0,0.14726199999999998
25,0.0,0.139899
26,0.0,0.13226300000000002
27,5.627999999999999,0.124355
28,5.62425,0.11644600000000001
29,0.0,-0.026997900000000005
30,0.0,-0.03490669999999999
31,0.0,-0.042815
32,0.0,-0.0507239
33,0.0,-0.0586322
34,0.0,-0.0665405
35,0.0,-0.07444939999999999
36,0.0,0.054814199999999993
37,0.0,-0.0902661
38,0.0,-0.0981749
39,0.0,-0.106083
40,0.0,-0.114264
41,0.0,-0.122446
42,0.0,-0.130081
43,0.0,-0.137718
44,0.0,-0.145626
45,0.0,-0.15326099999999998
46,0.0,-0.16117
47,0.0,-0.16880599999999998
48,0.0,-0.176715
49,0.0,-0.18435
50,0.0,-0.19225899999999999
51,0.0,-0.19989500000000002
52,0.0,-0.20780300000000002
53,0.0,-0.215439
54,0.0,-0.223347
55,0.0,-0.23098400000000002
56,0.0,-0.23889200000000002
57,0.0,-0.24652800000000002
58,0.0,-0.254436
59,0.0,-0.26207199999999997
60,0.0,-0.26998099999999997
61,0.0,-0.277616
62,0.0,-0.285525
63,0.0,-0.293161
64,0.0,-0.30106900000000003
65,0.0,-0.308705
66,0.0,-0.31661300000000003
67,0.0,-0.32425
68,0.0,-0.332158
69,0.0,-0.339794
70,0.0,-0.347702
71,0.0,-0.355338
72,0.0,-0.363247
73,0.0,-0.370882
74,0.0,-0.378791
75,0.0,-0.254164
76,2.9810000000000003,-0.26207199999999997
77,2.975,-0.269708
78,2.9760000000000004,-0.277616
79,2.992,-0.285252
80,3.048,-0.293161
81,3.093,-0.30106900000000003
82,3.083,-0.30897800000000003
83,0.0,-0.44914899999999996
84,3.091,-0.324522
85,3.092,-0.332158
86,0.0,-0.472602
87,0.0,-0.34470300000000004
88,0.0,-0.352611
89,5.785,-0.36052
90,0.0,-0.36842800000000003
91,0.0,-0.376336
92,0.0,-0.384245
93,0.0,-0.392154
94,0.0,-0.400062
95,0.0,-0.411243
96,2.86225,-0.419152
97,2.85725,-0.42706000000000005
98,2.86625,-0.434696
99,2.88725,-0.44233199999999995
100,2.918,-0.45024
101,0.0,-0.45542200000000005
102,0.0,-0.463603
103,4.395,-0.471239
104,0.0,-0.48160200000000003
105,2.89825,-0.48951000000000006
106,2.89125,-0.497146
107,2.89225,-0.505055
108,2.91225,-0.5129630000000001
109,0.0,-0.5189630000000001
110,3.91625,-0.5265989999999999
111,3.867,-0.534507
112,3.80725,-0.5426880000000001
113,3.75725,-0.5503239999999999
114,3.70925,-0.558233
115,3.66125,-0.5664140000000001
116,3.61925,-0.5743229999999999
117,3.56925,-0.581958
118,3.51825,-0.589867
119,3.47725,-0.5980479999999999
120,3.43825,-0.605956
121,3.39825,-0.613592
122,3.35525,-0.621228
123,3.31525,-0.629409
124,3.28025,-0.637318
125,3.24025,-0.6452260000000001
126,3.20625,-0.653135
127,3.17325,-0.661043
128,3.14025,-0.668952
129,3.10625,-0.6768609999999999
130,3.07425,-0.685042
131,3.04125,-0.6926770000000001
132,3.01225,-0.7005859999999999
133,2.98525,-0.708494
134,2.95625,-0.716676
135,2.92925,-0.724584
136,2.90025,-0.73222
137,2.87225,-0.740129
138,2.84525,-0.74831
139,2.82325,-0.7562180000000001
140,2.79725,-0.764127
141,2.77225,-0.771763
142,2.75125,-0.779944
143,2.72625,-0.787853
144,2.70325,-0.7957609999999999
145,2.68225,-0.80367
146,2.66125,-0.811578
147,2.63825,-0.819486
148,2.61825,-0.8273950000000001
149,2.60025,-0.835304
150,2.57825,-0.843485
151,2.55925,-0.8511209999999999
152,2.54125,-0.859029
153,2.52025,-0.8669379999999999
154,2.50425,-0.8748459999999999
155,2.48525,-0.883027
156,2.46825,-0.8906629999999999
157,2.45525,-0.8985719999999999
158,2.43525,-0.90648
159,2.41825,-0.9146620000000001
160,2.40725,-0.9225700000000001
161,2.39225,-0.930206
162,2.37625,-0.937842
163,2.35925,-0.94575
164,2.34625,-0.953932
165,2.33425,-0.9615670000000001
166,2.31725,-0.969476
167,2.30625,-0.977384
168,2.29425,-0.985293
169,2.28125,-0.9929290000000001
170,2.26925,-1.00111
171,2.25725,-1.00902
172,2.24525,-1.01665
173,2.23325,-1.0245600000000001
174,2.22325,-1.03247
175,2.21025,-1.04065
176,2.19925,-1.04829
177,2.18925,-1.0562
178,2.18025,-1.0641100000000001
179,2.17025,-1.07174
180,2.15925,-1.07965
181,2.15025,-1.0878299999999999
182,2.14325,-1.09574
183,2.13425,-1.10338
184,2.12525,-1.1112799999999998
185,2.11725,-1.11919
186,2.10825,-1.12683
187,2.09925,-1.1347399999999999
188,2.09225,-1.1429200000000002
189,2.08525,-1.15083
190,2.07525,-1.15846
191,2.06825,-1.1663700000000001
192,2.06025,-1.17428
193,2.05525,-1.18192
194,2.04625,-1.18982
195,2.04025,-1.19801
196,2.03325,-1.20591
197,2.02625,-1.21355
198,2.02325,-1.22146
199,2.01625,-1.22937
200,2.01125,-1.23728
201,2.00525,-1.24546
202,2.00025,-1.25309
203,1.99225,-1.261
204,1.98925,-1.26918
205,1.98125,-1.27682
206,1.97925,-1.28473
207,1.97325,-1.29263
208,1.96725,-1.30054
209,1.96225,-1.30818
