,range,angle
0,0.85425,0.321523
1,0.85125,0.313614
2,0.84925,0.305433
3,0.84625,0.297252
4,0.84525,0.28907
5,0.84325,0.280889
6,0.84025,0.272435
7,0.83925,0.264527
8,0.83725,0.256345
9,0.83525,0.248164
10,0.83325,0.239983
11,0.83225,0.23152899999999998
12,0.83125,0.223347
13,0.82925,0.215439
14,0.82725,0.207258
15,0.82625,0.199076
16,0.82525,0.190895
17,0.82325,0.18244200000000002
18,0.82225,0.174533
19,0.82025,0.166352
20,0.82025,0.158171
21,0.81925,0.149989
22,0.81825,0.141808
23,0.81625,0.133627
24,0.81625,0.125718
25,0.81525,0.11726400000000001
26,0.81425,0.109083
27,0.81425,0.10090199999999999
28,0.81225,0.0927208
29,0.81225,0.084812
30,0.81125,0.0766309
31,0.81125,0.0684498
32,0.81025,0.0602682
33,0.81025,0.0520871
34,0.81025,0.043906
35,0.81025,0.0359972
36,0.81025,0.0278161
37,0.80925,0.019635
38,0.80925,0.0114539
39,0.81025,0.00327236
40,0.81025,-0.00490886
41,0.81025,-0.013362700000000002
42,0.81025,-0.021271099999999998
43,0.81025,-0.029179900000000005
44,0.81025,-0.037088199999999995
45,0.81025,-0.0449966
46,0.81025,-0.0529054
47,0.81125,-0.06081369999999999
48,0.81125,-0.0689948
49,0.81125,-0.0769036
50,0.81225,-0.084812
51,0.81225,-0.0927208
52,0.81425,-0.100629
53,0.81425,-0.10853800000000001
54,0.81525,-0.116719
55,0.81525,-0.124627
56,0.81725,-0.13226300000000002
57,0.81725,-0.140172
58,0.81825,-0.14808
59,0.81925,-0.15598900000000002
60,0.82025,-0.16389700000000001
61,0.82125,-0.172078
62,0.82325,-0.17998699999999998
63,0.82325,-0.187896
64,0.82425,-0.195804
65,0.82625,-0.20344
66,0.82725,-0.211348
67,0.82925,-0.219529
68,0.83025,-0.227438
69,0.83225,-0.23534699999999997
70,0.83325,-0.242983
71,0.83525,-0.250891
72,0.83725,-0.258799
73,0.83825,-0.266708
74,0.84125,-0.274889
75,0.84225,-0.282525
76,0.84425,-0.290434
77,0.84525,-0.298342
78,0.84825,-0.306251
79,0.85025,-0.314159
80,0.85325,-0.32206799999999997
81,0.85425,-0.33024899999999996
82,0.85825,-0.33815700000000004
83,0.86125,-0.345794
84,0.86225,-0.353702
85,0.86525,-0.36161
86,0.86725,-0.369519
87,0.87125,-0.377427
88,0.87325,-0.385336
89,0.87625,-0.39324499999999996
90,0.87925,-0.40115300000000004
91,0.88325,-0.408789
92,0.88625,-0.41697
93,0.88825,-0.424878
94,0.89225,-0.432514
95,0.89625,-0.44042299999999995
